sequence ID,Name,URL,length (# available seq members leq 200),cathegory (trivial [T]/exists [E]/hard [H]),ground truth,"Diofantos [disco., outputed]",SINDy
A000330,Square pyramidal numbers,https://oeis.org/A000330,200,E,"a(n) = n*(n+1)*(2*n+1)/6, binomial(n+2, 3) + binomial(n+1, 3).
a(n) = -a(-1-n) for all n in Z.
a(n) = binomial(2*(n+1), 3)/4,
a(n) = (((n+1)^4 - n^4) - ((n+1)^2 - n^2))/12,
a(n) = sqrt(Sum_{j=1..n} Sum_{i=1..n} (i*j)^2).
a(n) = (Sum_{k=1..n} Sum_{j=1..n} Sum_{i=1..n} (i*j*k)^2)^(1/3),
a(n) = Sum_{i=1..n} i*(2*n-2*i+1),
a(n) = a(n-1) + n^2,
a(n) = binomial(n+2, 2) + 2*binomial(n+2, 3),
a(n) = 3*a(n-1) - 3*a(n-2) + a(n-3) + 2. ",yes! a(n) = a(n - 3) - 3*a(n - 2) + 3*a(n - 1) + 2,
A000364,,https://oeis.org/A000364,200,,,,
A000396,,https://oeis.org/A000396,15,,,,
A000521,,https://oeis.org/A000521,200,,,,
A000578,The cubes,https://oeis.org/A000578,200,E,a(n) = n^3.,yes! a(n) = n**3,
A000583,,https://oeis.org/A000583,200,,,,
A000593,,https://oeis.org/A000593,200,,,,
A000594,,https://oeis.org/A000594,200,,,,
A000602,,https://oeis.org/A000602,200,,,,
A000612,,https://oeis.org/A000612,13,,,,
A000670,,https://oeis.org/A000670,200,,,,
A000688,,https://oeis.org/A000688,200,,,,
A000720,,https://oeis.org/A000720,200,,,,
A000793,,https://oeis.org/A000793,200,,,,
A000796,,https://oeis.org/A000796,200,,,,
A000798,quasi-orders with labels,https://oeis.org/A000798,19,hard,"no, a(n) = Sum_{k=0..n} Stirling2(n, k)*A001035(k).
It is known that log_2(a(n)) ~ n^2/4.","no, only overfit: "" a(n) = 36706718060941852082056164*a(n - 4)**3 + 164191407949659439614295141*a(n - 4)**2*a(n - 3) - 62563673918957175202297036*a(n - 4)**2*a(n - 2) + 29409601555571712361356384*a(n - 4)**2*a(n - 1) + 8250031086223133071073155*a(n - 4)**2 - 43239802658245455571463982*a(n - 4)*a(n - 3)**2 + 83944618082808191924654785*a(n - 4)*a(n - 3)*a(n - 2) + 65959411381522644219727725*a(n - 4)*a(n - 3)*a(n - 1) - 39251263714390184680279358*a(n - 4)*a(n - 3) - 31592266215336080205370499*a(n - 4)*a(n - 2)**2 - 33036587673452475130051436*a(n - 4)*a(n - 2)*a(n - 1) - 50516545883360368728827677*a(n - 4)*a(n - 2) - 261663707409877013264769*a(n - 4)*a(n - 1)**2 + 55875879756512335987805581*a(n - 4)*a(n - 1) - 77169469421252471858912514*a(n - 4) - 69293967484903517614366053*a(n - 3)**3 - 29251362819328916284335930*a(n - 3)**2*a(n - 2) + 71837010224233181588195889*a(n - 3)**2*a(n - 1) + 121443865016118950472958169*a(n - 3)**2 - 32220814774872840377704884*a(n - 3)*a(n - 2)**2 + 1303943621533460610666645*a(n - 3)*a(n - 2)*a(n - 1) - 128709119277876775872132213*a(n - 3)*a(n - 2) - 151134278662692418205*a(n - 3)*a(n - 1)**2 - 7137891344668184688725081*a(n - 3)*a(n - 1) - 77910351397962351499955823*a(n - 3) - 1108907649961422567290295*a(n - 2)**3 + 202831962355426188555*a(n - 2)**2*a(n - 1) - 48861139697317145926048960*a(n - 2)**2 - 582929238523854*a(n - 2)*a(n - 1)**2 + 3924562277001832261990809*a(n - 2)*a(n - 1) + 69569719697496477363090108*a(n - 2) + 60986529690*a(n - 1)**3 - 91361677163343240158196*a(n - 1)**2 - 14564238491240107372878392*a(n - 1) + 2787316436397440347846410"",",
A000959,,https://oeis.org/A000959,200,,,,
A000961,,https://oeis.org/A000961,200,,,,
A000984,,https://oeis.org/A000984,200,,,,
A001003,,https://oeis.org/A001003,200,,,,
A001006,,https://oeis.org/A001006,200,,,,
A001034,,https://oeis.org/A001034,200,,,,
A001037,,https://oeis.org/A001037,200,,,,
A001045,Jacobsthal sequence,https://oeis.org/A001045,200,exists,"a(n) = a(n-1) + 2*a(n-2), a(n) = int(2^n/3). ",yes! a(n) = 2*a(n - 2) + a(n - 1),
A001055,,https://oeis.org/A001055,200,,,,
A001057,Canonical enumeration of integers,https://oeis.org/A001057,200,trivial,"a(n) = 1 - 2*a(n-1) -a(n-2),
a(2*n) = -n, a(2*n+1) = n+1,
a(n) = -a(n-1) + a(n-2) + a(n-3), 
a(n) = (-1)^(n+1) * floor((n+1) / 2),
a(n) = Sum_{k=0..n} k*(-1)^(k+1),
a(n) = (1-(2n+1)*(-1)^n)/4,
a(n) = (-1)^(n-1) * (n-|a(n-1)|),
a(n) = ceiling(n/2) * (-1)^(n+1),
a(n) = a(-1-n)",yes! a(n) = -a(n - 2) - 2*a(n - 1) + 1,"yes, a(n) = -a(n - 2) - 2*a(n - 1) + 1"
A001065,,https://oeis.org/A001065,200,,,,
A001097,,https://oeis.org/A001097,200,,,,
A001113,,https://oeis.org/A001113,200,,,,
A001147,,https://oeis.org/A001147,200,,,,
A001157,,https://oeis.org/A001157,200,,,,
A001190,,https://oeis.org/A001190,200,,,,
A001221,,https://oeis.org/A001221,200,,,,
A001222,,https://oeis.org/A001222,200,,,,
A001227,,https://oeis.org/A001227,200,,,,
A001285,,https://oeis.org/A001285,200,,,,
A001333,sqrt(2)'s continued fractions' numerators,https://oeis.org/A001333,200,E,"a(n) = 2a(n-1) + a(n-2),
a(n) = ((1-sqrt(2))^n + (1+sqrt(2))^n)/2.",yes! a(n) = a(n - 2) + 2*a(n - 1),"yes, a(n) = a(n - 2) + 2*a(n - 1)"
A001349,,https://oeis.org/A001349,76,,,,
A001358,,https://oeis.org/A001358,200,,,,
A001405,,https://oeis.org/A001405,200,,,,
A001462,,https://oeis.org/A001462,200,,,,
A001481,,https://oeis.org/A001481,200,,,,
A001511,,https://oeis.org/A001511,200,,,,
A001519,odd bisection of Fibonacci,https://oeis.org/A001519,200,E,a(n) = 3*a(n-1) - a(n-2),yes! a(n) = -a(n - 2) + 3*a(n - 1),"yes, a(n) = -a(n - 2) + 3*a(n - 1)"
A001615,,https://oeis.org/A001615,200,,,,
A001699,Number of binary trees of height n,https://oeis.org/A001699,13,E,"a(n+1) = 2*a(n)*(a(0) + ... + a(n-1)) + a(n)^2.
a(n+1) = a(n)^2 + a(n) + a(n)*sqrt(4*a(n)-3), ","? very probable overfit, to check: a(n) = -a(n - 2)**3 + 2*a(n - 2)**2 + 3*a(n - 2)*a(n - 1) - 4*a(n - 2) + a(n - 1)**2 + 2*a(n - 1)",
A001700,,https://oeis.org/A001700,200,,,,
A001764,,https://oeis.org/A001764,200,,,,
A001906,even bisection of Fibonacci,https://oeis.org/A001906,200,E,a(n) = 3*a(n-1) - a(n-2),yes! a(n) = -a(n - 2) + 3*a(n - 1),"yes, a(n) = -a(n - 2) + 3*a(n - 1)"
A001969,,https://oeis.org/A001969,200,,,,
A002033,,https://oeis.org/A002033,200,,,,
A002083,,https://oeis.org/A002083,200,,,,
A002110,,https://oeis.org/A002110,200,,,,
A002113,,https://oeis.org/A002113,200,,,,
A002275,Repunits: (10^n - 1)/9,https://oeis.org/A002275,200,E,"a(n) =  (10^n - 1)/9,   
a(n) = 10*a(n-1) + 1,
a(n) = 11*a(n-1) - 10*a(n-2),",yes! a(n) = 10*a(n - 1) + 1,"yes, a(n) = 10*a(n - 1) + 1"
A002322,,https://oeis.org/A002322,200,,,,
A002378,"Oblong (or promic, pronic, or heteromecic)",https://oeis.org/A002378,200,E,"a(n) = n*(n+1), 
a(n) = a(n-1) + 2*n,
Sum_{n >= 1} a(n) = n*(n+1)*(n+2)/3,
Sum_{n >= 1} 1/a(n) = 1, 
Sum_{n >= 1} (-1)^(n+1)/a(n) = log(4) - 1,
a(n)*a(n+1) = a(n*(n+2)),
Sum_{k = 1..n} 1/a(k) = n/(n+1),
Log 2 = Sum_{n >= 0} 1/a(2n+1) = Sum_{n >= 0} (-1)^n/(n+1),
a(n-1) = n^2 - n,",yes! a(n) = n**2 + n,
A002426,,https://oeis.org/A002426,200,,,,
A002487,,https://oeis.org/A002487,200,,,,
A002530,sqrt(3)'s continued fractions' denumerators,https://oeis.org/A002530,200,E,"a(n) = 4*a(n-2) - a(n-4), 
a(n) = -(-1)^n * a(-n),
a(2*n) = a(2*n-1) + a(2*n-2), a(2*n+1) = 2*a(2*n) + a(2*n-1).
a(2*n) = ((2 + sqrt(3))^n - (2 - sqrt(3))^n)/(2*sqrt(3)).
a(n+1)*a(n+2) - a(n+3)*a(n) = (-1)^n,",yes! a(n) = -a(n - 4) + 4*a(n - 2),
A002531,sqrt(3)'s continued fractions' numerators,https://oeis.org/A002531,200,,"a(2*n) = a(2*n-1) + a(2*n-2), a(2*n+1) = 2*a(2*n) + a(2*n-1),
a(n) = ((1 + sqrt(3))^n + (1 - sqrt(3))^n)/(2*2^floor(n/2)),
a(n) = ((1 - sqrt(2))*(-1)^n + 1 + sqrt(2))*(((sqrt(2) - sqrt(6))/2)^n + ((sqrt(6) + sqrt(2))/2)^n)/4,
a(n) = (-1)^n*a(-n),","? to check!, a(n) = -a(n - 4) + 4*a(n - 2)",
A002572,,https://oeis.org/A002572,200,,,,
A002620,Quarter-squares,https://oeis.org/A002620,200,E,"a(n) = floor(n/2)*ceiling(n/2), 
a(n) = floor(n^2/4), 
a(n) = (2*n^2-1+(-1)^n)/8,
a(n) = 2*a(n-1) - 2*a(n-3) + a(n-4),
a(-n) = a(n),
a(n) = a(n-1) + floor(n/2),
a(n) = a(n-1) + a(n-2) - a(n-3) + 1,",yes! a(n) = -a(n - 3) + a(n - 2) + a(n - 1) + 1,
A002654,,https://oeis.org/A002654,200,,,,
A002658,,https://oeis.org/A002658,14,,,,
A002808,,https://oeis.org/A002808,200,,,,
A003136,,https://oeis.org/A003136,200,,,,
A003418,,https://oeis.org/A003418,200,,,,
A003484,,https://oeis.org/A003484,200,,,,
A004011,,https://oeis.org/A004011,200,,,,
A004018,,https://oeis.org/A004018,200,,,,
A004526,Nonnegative integers repeated,https://oeis.org/A004526,200,Trivial,"a(n) = floor(n/2),
a(n) = 1 + a(n-2).
a(n) = a(n-1) + a(n-2) - a(n-3).
a(2*n) = a(2*n+1) = n.
a(n+1) = n - a(n),",yes! a(n) = a(n - 2) + 1,
A005036,,https://oeis.org/A005036,100,,,,
A005100,,https://oeis.org/A005100,200,,,,
A005101,,https://oeis.org/A005101,200,,,,
A005117,,https://oeis.org/A005117,200,,,,
A005130,,https://oeis.org/A005130,101,,,,
A005230,,https://oeis.org/A005230,200,,,,
A005408,Odd numbers,https://oeis.org/A005408,200,Trivial,"a(n) = 2*n + 1,          
a(-1 - n) = -a(n), 
a(n+1) = a(n) + 2,
a(n) = (n+1)^2 - n^2,
a(n) = 2*a(n-1) - a(n-2),
a(n) = (n - 1) + n 
n*a(2n+1)^2+1 = (n+1)*a(2n)^2",yes! a(n) = a(n - 1) + 2,"yes, a(n) = 2*n + 1"
A005588,,https://oeis.org/A005588,12,,,,
A005811,,https://oeis.org/A005811,200,,,,
A005843,Even numbers,https://oeis.org/A005843,200,Trivial,"a(n) = 2*n, 
a(n) = 2a(n-1) - a(n-2)",yes! a(n) = 2*n,"yes, a(n) = -a(n - 2) + 2*a(n - 1)"
A006318,,https://oeis.org/A006318,200,,,,
A006530,,https://oeis.org/A006530,200,,,,
A006882,,https://oeis.org/A006882,200,,,,
A006894,,https://oeis.org/A006894,14,,,,
A007318,,https://oeis.org/A007318,200,,,,
A008275,,https://oeis.org/A008275,200,,,,
A008277,,https://oeis.org/A008277,200,,,,
A008279,,https://oeis.org/A008279,200,,,,
A008292,,https://oeis.org/A008292,200,,,,
A008683,,https://oeis.org/A008683,200,,,,
A010060,,https://oeis.org/A010060,200,,,,
A018252,,https://oeis.org/A018252,200,,,,
A020639,,https://oeis.org/A020639,200,,,,
A020652,,https://oeis.org/A020652,200,,,,
A020653,,https://oeis.org/A020653,200,,,,
A025487,,https://oeis.org/A025487,200,,,,
A027641,,https://oeis.org/A027641,200,,,,
A027642,,https://oeis.org/A027642,200,,,,
A035099,,https://oeis.org/A035099,200,,,,
A038566,,https://oeis.org/A038566,200,,,,
A038567,,https://oeis.org/A038567,200,,,,
A038568,,https://oeis.org/A038568,200,,,,
A038569,,https://oeis.org/A038569,200,,,,
A049310,,https://oeis.org/A049310,200,,,,
A055512,Lattices with n labeled elements,https://oeis.org/A055512,20,hard,no.,"no, prolly overfit: "" A055512 .. h .. a(n) = -1105472571399536518*a(n - 6)**2 + 3588308353318391503*a(n - 6)*a(n - 5) + 2224863515319969013*a(n - 6)*a(n - 4) - 1694872272832474807*a(n - 6)*a(n - 3) + 591752402704155245*a(n - 6)*a(n - 2) - 27317905897404479*a(n - 6)*a(n - 1) + 596594399922541876*a(n - 6) - 1265421825004137781*a(n - 5)**2 - 1007454242957500909*a(n - 5)*a(n - 4) + 1029172703958521086*a(n - 5)*a(n - 3) + 238195649422380681*a(n - 5)*a(n - 2) - 34707715623429843*a(n - 5)*a(n - 1) - 4377029257165658714*a(n - 5) - 1634489814979823823*a(n - 4)**2 + 751661964429027137*a(n - 4)*a(n - 3) + 244422938141221588*a(n - 4)*a(n - 2) + 7047688110885070*a(n - 4)*a(n - 1) + 1450732398362333246*a(n - 4) - 405985400962523687*a(n - 3)**2 - 9102581589174365*a(n - 3)*a(n - 2) + 71567114840199*a(n - 3)*a(n - 1) - 4244036423426031890*a(n - 3) - 73380820839107*a(n - 2)**2 + 207080477*a(n - 2)*a(n - 1) + 367891146668910673*a(n - 2) - 65861*a(n - 1)**2 - 12494149647337042*a(n - 1) + 2957334332811867422"",",
A070939,,https://oeis.org/A070939,200,,,,
A074206,Kalmár's problem,https://oeis.org/A074206,200,exists?,a_n = [x^n] Sum_{k=1..n-1} a_k * x^k/(1 - x^k),,
A104725,complementing systems of subsets of [n-1].,https://oeis.org/A104725,200,hard,no,,
A226898,Hooley's Delta function,https://oeis.org/A226898,200,hard,no,,
A246655,Prime powers,https://oeis.org/A246655,200,hard,no,,
,,,Trivial:,,,,
,,,exists:,,,,
,,,hard:,,,,
