sequence ID,URL,length (# available seq members leq 200),cathegory (trivial/exists/none),ground truth,Diofantos,SINDy
A000273,https://oeis.org/A000273,65,,,,
A000290,https://oeis.org/A000290,200,,,,
A000292,https://oeis.org/A000292,200,,,,
A000302,https://oeis.org/A000302,101,,,,
A000311,https://oeis.org/A000311,200,,,,
A000312,https://oeis.org/A000312,200,,,,
A000326,https://oeis.org/A000326,200,,,,
A000330,https://oeis.org/A000330,200,,,,
A000364,https://oeis.org/A000364,200,,,,
A000396,https://oeis.org/A000396,15,,,,
A000521,https://oeis.org/A000521,200,,,,
A000578,https://oeis.org/A000578,200,,,,
A000583,https://oeis.org/A000583,200,,,,
A000593,https://oeis.org/A000593,200,,,,
A000594,https://oeis.org/A000594,200,,,,
A000602,https://oeis.org/A000602,200,,,,
A000612,https://oeis.org/A000612,13,,,,
A000670,https://oeis.org/A000670,200,,,,
A000688,https://oeis.org/A000688,200,,,,
A000720,https://oeis.org/A000720,200,,,,
A000793,https://oeis.org/A000793,200,,,,
A000796,https://oeis.org/A000796,200,,,,
A000798,https://oeis.org/A000798,19,,,,
A000959,https://oeis.org/A000959,200,,,,
A000961,https://oeis.org/A000961,200,,,,
A000984,https://oeis.org/A000984,200,,,,
A001003,https://oeis.org/A001003,200,,,,
A001006,https://oeis.org/A001006,200,,,,
A001034,https://oeis.org/A001034,200,,,,
A001037,https://oeis.org/A001037,200,,,,
A001045,https://oeis.org/A001045,200,,,,
A001055,https://oeis.org/A001055,200,,,,
A001057,https://oeis.org/A001057,200,,,,
A001065,https://oeis.org/A001065,200,,,,
A001097,https://oeis.org/A001097,200,,,,
A001113,https://oeis.org/A001113,200,,,,
A001147,https://oeis.org/A001147,200,,,,
A001157,https://oeis.org/A001157,200,,,,
A001190,https://oeis.org/A001190,200,,,,
A001221,https://oeis.org/A001221,200,,,,
A001222,https://oeis.org/A001222,200,,,,
A001227,https://oeis.org/A001227,200,,,,
A001285,https://oeis.org/A001285,200,,,,
A001333,https://oeis.org/A001333,200,,,,
A001349,https://oeis.org/A001349,76,,,,
A001358,https://oeis.org/A001358,200,,,,
A001405,https://oeis.org/A001405,200,,,,
A001462,https://oeis.org/A001462,200,,,,
A001481,https://oeis.org/A001481,200,,,,
A001511,https://oeis.org/A001511,200,,,,
A001519,https://oeis.org/A001519,200,,,,
A001615,https://oeis.org/A001615,200,,,,
A001699,https://oeis.org/A001699,13,,,,
A001700,https://oeis.org/A001700,200,,,,
A001764,https://oeis.org/A001764,200,,,,
A001906,https://oeis.org/A001906,200,,,,
A001969,https://oeis.org/A001969,200,,,,
A002033,https://oeis.org/A002033,200,,,,
A002083,https://oeis.org/A002083,200,,,,
A002110,https://oeis.org/A002110,200,,,,
A002113,https://oeis.org/A002113,200,,,,
A002275,https://oeis.org/A002275,200,,,,
A002322,https://oeis.org/A002322,200,,,,
A002378,https://oeis.org/A002378,200,,,,
A002426,https://oeis.org/A002426,200,,,,
A002487,https://oeis.org/A002487,200,,,,
A002530,https://oeis.org/A002530,200,,,,
A002531,https://oeis.org/A002531,200,,,,
A002572,https://oeis.org/A002572,200,,,,
A002620,https://oeis.org/A002620,200,,,,
A002654,https://oeis.org/A002654,200,,,,
A002658,https://oeis.org/A002658,14,,,,
A002808,https://oeis.org/A002808,200,,,,
A003136,https://oeis.org/A003136,200,,,,
A003418,https://oeis.org/A003418,200,,,,
A003484,https://oeis.org/A003484,200,,,,
A004011,https://oeis.org/A004011,200,,,,
A004018,https://oeis.org/A004018,200,,,,
A004526,https://oeis.org/A004526,200,,,,
A005036,https://oeis.org/A005036,100,,,,
A005100,https://oeis.org/A005100,200,,,,
A005101,https://oeis.org/A005101,200,,,,
A005117,https://oeis.org/A005117,200,,,,
A005130,https://oeis.org/A005130,101,,,,
A005230,https://oeis.org/A005230,200,,,,
A005408,https://oeis.org/A005408,200,,,,
A005588,https://oeis.org/A005588,12,,,,
A005811,https://oeis.org/A005811,200,,,,
A005843,https://oeis.org/A005843,200,,,,
A006318,https://oeis.org/A006318,200,,,,
A006530,https://oeis.org/A006530,200,,,,
A006882,https://oeis.org/A006882,200,,,,
A006894,https://oeis.org/A006894,14,,,,
A007318,https://oeis.org/A007318,200,,,,
A008275,https://oeis.org/A008275,200,,,,
A008277,https://oeis.org/A008277,200,,,,
A008279,https://oeis.org/A008279,200,,,,
A008292,https://oeis.org/A008292,200,,,,
A008683,https://oeis.org/A008683,200,,,,
A010060,https://oeis.org/A010060,200,,,,
A018252,https://oeis.org/A018252,200,,,,
A020639,https://oeis.org/A020639,200,,,,
A020652,https://oeis.org/A020652,200,,,,
A020653,https://oeis.org/A020653,200,,,,
A025487,https://oeis.org/A025487,200,,,,
A027641,https://oeis.org/A027641,200,,,,
A027642,https://oeis.org/A027642,200,,,,
A035099,https://oeis.org/A035099,200,,,,
A038566,https://oeis.org/A038566,200,,,,
A038567,https://oeis.org/A038567,200,,,,
A038568,https://oeis.org/A038568,200,,,,
A038569,https://oeis.org/A038569,200,,,,
A049310,https://oeis.org/A049310,200,,,,
A055512,https://oeis.org/A055512,20,,,,
A070939,https://oeis.org/A070939,200,,,,
A074206,https://oeis.org/A074206,200,,,,
A104725,https://oeis.org/A104725,200,,,,
A226898,https://oeis.org/A226898,200,,,,
A246655,https://oeis.org/A246655,200,,,,
