,Name,URL,length (# available seq members leq 200),cathegory (trivial [T]/exists [E]/hard [H]),ground truth,"Diofantos [disco., outputed]",SINDy
A000081,unlabeled rooted trees with n nodes,https://oeis.org/A000081,200,hard,"no, a(n+1) = (1/n) * Sum_{k=1..n} ( Sum_{d|k} d*a(d) ) * a(n-k+1).",,
A000085,involutions on n letters,https://oeis.org/A000085,200,E,"yes, a(n) = (n-1)*a(n-2) + a(n-1), a(n) = Sum_{k=0..floor(n/2)} n!/((n-2*k)!*2^k*k!).
a(m+n) = Sum_{k>=0} k!*binomial(m, k)*binomial(n, k)*a(m-k)*a(n-k)e",,
A000088,graphs on n unlabeled nodes. ,https://oeis.org/A000088,88,hard,"no, (n) = 2^binomial(n, 2)/n!*(1+(n^2-n)/2^(n-1)+8*n!/(n-4)!*(3*n-7)*(3*n-9)/2^(2*n)+O(n^5/2^(5*n/2)))",,
A000105,free polyominoes ,https://oeis.org/A000105,51,hard,no,,
A000108,Catalan numbers,https://oeis.org/A000108,200,hard,"no, a(n) = binomial(2n,n)/(n+1) = (2n)!/(n!(n+1)!), 
a(n) = 2*(2*n-1)*a(n-1)/(n+1),
a(n) = Sum_{k=0..n-1} a(k)a(n-1-k).",,
A000110,Bell or exponential numbers,https://oeis.org/A000110,200,hard,"no, a(n+1) = Sum_{k=0..n} a(k)*binomial(n, k).",,
A000111,Euler numbers,https://oeis.org/A000111,200,hard," no, 2*a(n+1) = Sum_{k=0..n} binomial(n, k)*a(k)*a(n-k).",,
A000120,1's in binary,https://oeis.org/A000120,200,exists?," a(2*n) = a(n), a(2*n+1) = a(n) + 1, a(n) = a(n - 2^floor(log_2(n))) + 1",,
A000123,binary partitions,https://oeis.org/A000123,200,exists?,"no, a(n) = a(n-1) + a(floor(n/2))",,
A000124,Central polygonal numbers (the Lazy Caterer's sequence),https://oeis.org/A000124,200,E,"a(n) = n(n+1)/2 + 1,
a(n+3) = 3*a(n+2) - 3*a(n+1) + a(n),
a(n) = a(n-1) + n, 
a(n) = 2*a(n-1) - a(n-2) + 1",yes! a(n) = 2*a(n-1) - a(n-2) + 1,"yes, a(n) = a(n - 2) + 2*a(n - 1) 
a(n) =  a(n - 3) - 3*a(n - 2) + 3*a(n - 1)
a(n) = -a(n - 2) + 2*a(n - 1) + 1"
A000129,Pell numbers,https://oeis.org/A000129,200,E,a(n) = 2*a(n-1) + a(n-2),yes! a(n) = 2*a(n-1) + a(n-2),"yes, a(n) = a(n - 2) + 2*a(n - 1)"
A000140,Kendall-Mann numbers,https://oeis.org/A000140,200,hard,no,,
A000142,Factorials,https://oeis.org/A000142,101,exists,"a(n) = (n-1)*(a(n-1) + a(n-2)), 
a(n) = a(n-1)^2/a(n-2) + a(n-1), 
a(n) = n*(2*a(n-1) - (n-1)*a(n-2))",,
A000161,partitions of n into 2 squares,https://oeis.org/A000161,200,hard,no,,
A000166,Subfactorial or rencontres numbers,https://oeis.org/A000166,200,exists,"a(n) = (n-1)*(a(n-1) + a(n-2)), a(n) = n*a(n-1) + (-1)^n,",,
A000169,labeled rooted trees with n nodes,https://oeis.org/A000169,100,exitst?,a(n) = n^(n-1),,
A000182,Tangent or Zag numbers,https://oeis.org/A000182,200,hard,no,,
A000203,sum of the divisors,https://oeis.org/A000203,200,hard,no,,
A000204,Lucas num. (beginning w/ 1),https://oeis.org/A000204,200,exists,a_n = a_{n-1} + a_{n-2},yes! a_n = a_{n-1} + a_{n-2},"yes, a(n) = a(n - 2) + a(n - 1)"
A000217,Triangular numbers,https://oeis.org/A000217,200,exists,"a(n) = binomial(n+1,2) = n*(n+1)/2 = 0 + 1 + 2 + ... + n, 
a(n) = a(-1-n), 
a(n) + a(n-1)*a(n+1) = a(n)^2, 
a(n) = (-1)^n*Sum_{k=1..n} (-1)^k*k^2, 
a(n+1) = ((n+2)/n)*a(n), 
a(n) = ((n+1)^3 - n^3 - 1)/6, 
a(n) = a(n-1) + (1 + sqrt(1 + 8*a(n-1)))/2, 
a(n) + a(n+1) = (n+1)^2, 
a(n) = a(n-2) + 2*n - 1
a(n) = 2*a(n-1) - a(n-2) + 1, 
a(n) = a(n-1) + n,","yes! 
a(n) = -a(n - 2) + 2*a(n - 1) + 1","yes, checked (a(n) -a(n-1), also a124),  
a(n) = a(n - 3) - 3*a(n - 2) + 3*a(n - 1) 
a(n) = -a(n - 2) + 2*a(n - 1) + 1"
A000219,planar partitions,https://oeis.org/A000219,200,,no,,
A000225,Sometimes Mersenne,https://oeis.org/A000225,200,E,"a(n) = 2^n - 1,
a(n) = Sum_{k=0..n-1} 2^k,
a(n) = a(n-1) + 2*a(n-2) + 2,
a(n+1) = 2*a(n) + 1, 
a(n) = 3*a(n-1) - 2*a(n-2)",yes! a(n) = 2*a(n - 1) + 1,"yes, a(n) = 2*a(n - 1) + 1 a(n) 
a(n) = -2*a(n - 2) + 3*a(n - 1) 
a(n) = 2*a(n - 1) + 1"
A000244,Powers of 3,https://oeis.org/A000244,200,E,"a(n) = 3^n,
a(n) = 3*a(n-1),",yes! 3*a(n - 1),"yes, a(n) = 3*a(n - 1)"
A000262,sets of lists,https://oeis.org/A000262,200,E,a(n) = (2*n-1)*a(n-1) - (n-1)*(n-2)*a(n-2),,
A000272,trees on n labeled nodes,https://oeis.org/A000272,200,E,"a(n) = n^(n-2), a(n+1) = Sum_{i=1..n} i * n^(n-1-i) * binomial(n, i)",,
A000273,unlabeled simple digraphs,https://oeis.org/A000273,65,hard,"no, a(n) ~ 2^(n*(n-1))/n!",,
A000290, The squares,https://oeis.org/A000290,200,E,"a(n) = n^2,
a(n) = 2*a(n-1) - a(n-2) + 2,
a(n) = a(n-1) + 2*n - 1, 
a(n+3) = 3*a(n+2) - 3*a(n+1) + a(n)",yes!  a(n) = n^2,"yes, a(n) = a(n - 3) - 3*a(n - 2) + 3*a(n - 1) 
a(n) = -a(n - 2) + 2*a(n - 1) + 2"
A000292,Tetrahedral (or triangular pyramidal),https://oeis.org/A000292,200,E,"a(n) = C(n+2,3) = n*(n+1)*(n+2)/6, 
a(n) = Sum_{k=1..n} Sum_{j=0..k} j,
a(2n) = A002492(n), 
a(2n+1) = A000447(n+1),
a(n) = Sum_{1 <= i <= j <= n} |i - j|,
a(n) = (n+3)*a(n-1)/n,
a(n) = 4*a(n-1) - 6*a(n-2) + 4*a(n-3) - a(n-4), 
a(n) = Sum_{k = 1..n} k*(n-k+1), 
a(n) = 3*a(n-1) - 3*a(n-2) + a(n-3) + 1.",yes! a(n) = a(n - 3) - 3*a(n - 2) + 3*a(n - 1) + 1,"yes,  a(n) = a(n - 3) - 3*a(n - 2) + 3*a(n - 1) + 1"
A000302, Powers of 4,https://oeis.org/A000302,101,E,"a(n) = 4^n, 
a(n) = 4*a(n-1), 
a(n) = 5*a(n - 1) - 4*a(n - 2)",yes! a(n) = 4*a(n - 1),"yes, a(n) = 4*a(n - 1)"
A000311,Schroeder's fourth problem,https://oeis.org/A000311,200,hard,"no, a(n+1) = (n+2)*a(n) + 2*Sum_{k=2..n-1} binomial(n, k)*a(k)*a(n-k+1).",,
A000312,labeled mappings from n points,https://oeis.org/A000312,200,E,a(n) = n^n,,
A000326,Pentagonal numbers,https://oeis.org/A000326,200,E,"a(n) = n*(3*n-1)/2, 
a(n) = 2*a(n-1) - a(n-2) + 3,
a(n) = Sum_{k=1..n} (2*n - k),
a(n) = binomial(n+1, 2) + 2*binomial(n, 2).
a(n) = 3*a(n-1) - 3*a(n-2) + a(n-3), 
a(n) = a(n-1) + 3*n-2 ",yes! a(n) = -a(n - 2) + 2*a(n - 1) + 3,"yes, a(n) = a(n - 3) - 3*a(n - 2) + 3*a(n - 1)  
a(n) = -a(n - 2) + 2*a(n - 1) + 3"
A000330,Square pyramidal numbers,https://oeis.org/A000330,200,E,"a(n) = n*(n+1)*(2*n+1)/6, binomial(n+2, 3) + binomial(n+1, 3).
a(n) = -a(-1-n) for all n in Z.
a(n) = binomial(2*(n+1), 3)/4,
a(n) = (((n+1)^4 - n^4) - ((n+1)^2 - n^2))/12,
a(n) = sqrt(Sum_{j=1..n} Sum_{i=1..n} (i*j)^2).
a(n) = (Sum_{k=1..n} Sum_{j=1..n} Sum_{i=1..n} (i*j*k)^2)^(1/3),
a(n) = Sum_{i=1..n} i*(2*n-2*i+1),
a(n) = a(n-1) + n^2,
a(n) = binomial(n+2, 2) + 2*binomial(n+2, 3),
a(n) = 3*a(n-1) - 3*a(n-2) + a(n-3) + 2. ",yes! a(n) = a(n - 3) - 3*a(n - 2) + 3*a(n - 1) + 2,"yes, checked (a(n) -a(n-1), also a124), 
a(n) = -a(n - 4) + 4*a(n - 3) - 6*a(n - 2) + 4*a(n - 1) 
a(n) = a(n - 3) - 3*a(n - 2) + 3*a(n - 1) + 2"
A000364,"Euler (or secant or ""Zig"") numbers",https://oeis.org/A000364,200,Hard,no,,
A000396,Perfect numbers,https://oeis.org/A000396,15,Hard,no,,
A000521,coefficients of elliptic modular invariant,https://oeis.org/A000521,200,hard,no,,
A000578,The cubes,https://oeis.org/A000578,200,E,"a(n) = n^3, 
a(n) = 3*a(n-1) - 3*a(n-2) + a(n-3) + 6, 
a(n) = 4*a(n-1) - 6*a(n-2) + 4*a(n-3) - a(n-4).",yes! a(n) = n**3,"yes,  a(n) = -a(n - 4) + 4*a(n - 3) - 6*a(n - 2) + 4*a(n - 1) 
a(n) = a(n - 3) - 3*a(n - 2) + 3*a(n - 1) + 6"
A000583, Fourth powers,https://oeis.org/A000583,200,E,"a(n) = n^4, 
a(n) = 4*a(n-1) - 6*a(n-2) + 4*a(n-3) - a(n-4) + 24.",no!,"yes, checked (a(n) -a(n-1)), 
a(n) = a(n - 5) - 5*a(n - 4) + 10*a(n - 3) - 10*a(n - 2) + 5*a(n - 1)  
a(n) = -a(n - 4) + 4*a(n - 3) - 6*a(n - 2) + 4*a(n - 1) + 24"
A000593,	Sum of odd divisors of n.,https://oeis.org/A000593,200,hard,no,,
A000594,Ramanujan numbers,https://oeis.org/A000594,200,hard,no,,
A000602,Number of n-node unrooted quartic trees,https://oeis.org/A000602,200,hard,no,,
A000612, P-equivalence classes of switching functions,https://oeis.org/A000612,13,hard,no,,
A000670,Fubini,https://oeis.org/A000670,200,hard,no,,
A000688,Abelian groups of order n,https://oeis.org/A000688,200,hard,no,,
A000720,primes <= n,https://oeis.org/A000720,200,hard,no,,
A000793,Landau's g(n),https://oeis.org/A000793,200,hard,no,,
A000796,pi's digits,https://oeis.org/A000796,200,hard,no,,
A000798,quasi-orders with labels,https://oeis.org/A000798,19,hard,"no, a(n) = Sum_{k=0..n} Stirling2(n, k)*A001035(k).
It is known that log_2(a(n)) ~ n^2/4.","no, only overfit: "" a(n) = 36706718060941852082056164*a(n - 4)**3 + 164191407949659439614295141*a(n - 4)**2*a(n - 3) - 62563673918957175202297036*a(n - 4)**2*a(n - 2) + 29409601555571712361356384*a(n - 4)**2*a(n - 1) + 8250031086223133071073155*a(n - 4)**2 - 43239802658245455571463982*a(n - 4)*a(n - 3)**2 + 83944618082808191924654785*a(n - 4)*a(n - 3)*a(n - 2) + 65959411381522644219727725*a(n - 4)*a(n - 3)*a(n - 1) - 39251263714390184680279358*a(n - 4)*a(n - 3) - 31592266215336080205370499*a(n - 4)*a(n - 2)**2 - 33036587673452475130051436*a(n - 4)*a(n - 2)*a(n - 1) - 50516545883360368728827677*a(n - 4)*a(n - 2) - 261663707409877013264769*a(n - 4)*a(n - 1)**2 + 55875879756512335987805581*a(n - 4)*a(n - 1) - 77169469421252471858912514*a(n - 4) - 69293967484903517614366053*a(n - 3)**3 - 29251362819328916284335930*a(n - 3)**2*a(n - 2) + 71837010224233181588195889*a(n - 3)**2*a(n - 1) + 121443865016118950472958169*a(n - 3)**2 - 32220814774872840377704884*a(n - 3)*a(n - 2)**2 + 1303943621533460610666645*a(n - 3)*a(n - 2)*a(n - 1) - 128709119277876775872132213*a(n - 3)*a(n - 2) - 151134278662692418205*a(n - 3)*a(n - 1)**2 - 7137891344668184688725081*a(n - 3)*a(n - 1) - 77910351397962351499955823*a(n - 3) - 1108907649961422567290295*a(n - 2)**3 + 202831962355426188555*a(n - 2)**2*a(n - 1) - 48861139697317145926048960*a(n - 2)**2 - 582929238523854*a(n - 2)*a(n - 1)**2 + 3924562277001832261990809*a(n - 2)*a(n - 1) + 69569719697496477363090108*a(n - 2) + 60986529690*a(n - 1)**3 - 91361677163343240158196*a(n - 1)**2 - 14564238491240107372878392*a(n - 1) + 2787316436397440347846410"",",
A000959,Lucky,https://oeis.org/A000959,200,hard,no,,
A000961,powers of primes,https://oeis.org/A000961,200,hard,no,,
A000984,	Central binomial coefficients,https://oeis.org/A000984,200,exists,n*a(n) + 2*(1-2*n)*a(n-1)=0,,
A001003,	Schroeder's second problem ,https://oeis.org/A001003,200,exists,(n+1) * a(n) = (6*n-3) * a(n-1) - (n-2) * a(n-2),,
A001006,		Motzkin numbers,https://oeis.org/A001006,200,exists,(n+2)*a(n) = (2*n+1)*a(n-1) + (3*n-3)*a(n-2),,
A001034,		Orders of noncyclic simple groups,https://oeis.org/A001034,200,hard,no,,
A001037,degree-n irreducible polynomials over GF(2),https://oeis.org/A001037,200,hard,no,,
A001045,Jacobsthal sequence,https://oeis.org/A001045,200,exists,"a(n) = a(n-1) + 2*a(n-2), a(n) = int(2^n/3). ",yes! a(n) = 2*a(n - 2) + a(n - 1),"yes,  a(n) = 2*a(n - 2) + a(n - 1)"
A001055,multiplicative partition function,https://oeis.org/A001055,200,HARD,no,,
A001057,Canonical enumeration of integers,https://oeis.org/A001057,200,trivial,"a(n) = 1 - 2*a(n-1) -a(n-2),
a(2*n) = -n, a(2*n+1) = n+1,
a(n) = -a(n-1) + a(n-2) + a(n-3), 
a(n) = (-1)^(n+1) * floor((n+1) / 2),
a(n) = Sum_{k=0..n} k*(-1)^(k+1),
a(n) = (1-(2n+1)*(-1)^n)/4,
a(n) = (-1)^(n-1) * (n-|a(n-1)|),
a(n) = ceiling(n/2) * (-1)^(n+1),
a(n) = a(-1-n)",yes! a(n) = -a(n - 2) - 2*a(n - 1) + 1,"yes!, a(n) = a(n - 3) + a(n - 2) - a(n - 1) 
a(n) = -a(n - 2) - 2*a(n - 1) + 1"
A001065,Sum of proper divisors,https://oeis.org/A001065,200,hard,no,,
A001097,twin primes,https://oeis.org/A001097,200,hard,no,,
A001113,e's digits,https://oeis.org/A001113,200,hard,no,,
A001147,Double factorial of odd numbers,https://oeis.org/A001147,200,exists,"a(n) = (2*n-1)!!, 
a(n) = a(n-1)*(2*n-1), 
a(n) = (2*n - 3)*a(n-2) + (2*n - 2)*a(n-1), 
a(n) = (3*n - 2)*a(n-1) - (n - 1)*(2*n - 3)*a(n-2) ",,
A001157,sum of squares of divisors of n. ,https://oeis.org/A001157,200,hard,no,,
A001190,		Wedderburn-Etherington numbers,https://oeis.org/A001190,200,h,no,,
A001221,distinct primes dividing n,https://oeis.org/A001221,200,H,no,,
A001222,prime divisors of n counted with multiplicity,https://oeis.org/A001222,200,h,no,,
A001227,odd divisors of n. ,https://oeis.org/A001227,200,H,no,,
A001285,Thue-Morse sequence,https://oeis.org/A001285,200,H,"no, a(2n) = a(n), a(2n+1) = 3 - a(n),",,
A001333,sqrt(2)'s continued fractions' numerators,https://oeis.org/A001333,200,E,"a(n) = 2a(n-1) + a(n-2),
a(n) = ((1-sqrt(2))^n + (1+sqrt(2))^n)/2.",yes! a(n) = a(n - 2) + 2*a(n - 1),"yes, a(n) = a(n - 2) + 2*a(n - 1)"
A001349,connected graphs with n nodes,https://oeis.org/A001349,76,H,no,,
A001358,biprimes,https://oeis.org/A001358,200,H,no,,
A001405,"binomial(n, floor(n/2))",https://oeis.org/A001405,200,E,(n+1)*a(n) = 2*a(n-1) + 4*(n-1)*a(n-2),,
A001462,	Golomb's sequence,https://oeis.org/A001462,200,E,a(n+1) = 1 + a(n+1-a(a(n))).,,
A001481,sum of 2 squares,https://oeis.org/A001481,200,H,no,,
A001511,the ruler function,https://oeis.org/A001511,200,E,a(2*n+1) = 1; a(2*n) = 1 + a(n),,
A001519,odd bisection of Fibonacci,https://oeis.org/A001519,200,E,a(n) = 3*a(n-1) - a(n-2),yes! a(n) = -a(n - 2) + 3*a(n - 1),"yes, a(n) = -a(n - 2) + 3*a(n - 1)"
A001615,Dedekind psi function,https://oeis.org/A001615,200,H,no,,
A001699,Number of binary trees of height n,https://oeis.org/A001699,13,E,"a(n+1) = 2*a(n)*(a(0) + ... + a(n-1)) + a(n)^2.
a(n+1) = a(n)^2 + a(n) + a(n)*sqrt(4*a(n)-3), ","no? very probable overfit, to check: a(n) = -a(n - 2)**3 + 2*a(n - 2)**2 + 3*a(n - 2)*a(n - 1) - 4*a(n - 2) + a(n - 1)**2 + 2*a(n - 1)",
A001700,n+1 indistinguishable balls into n+1 distinguishable boxes,https://oeis.org/A001700,200,E,a(n) = 2*(2*n+1)*a(n-1)/(n+1),,
A001764,ternary trees ,https://oeis.org/A001764,200,E,2*n*(2n+1)*a(n) - 3*(3n-1)*(3n-2)*a(n-1) = 0,,
A001906,even bisection of Fibonacci,https://oeis.org/A001906,200,E,a(n) = 3*a(n-1) - a(n-2),yes! a(n) = -a(n - 2) + 3*a(n - 1),"yes, a(n) = -a(n - 2) + 3*a(n - 1)"
A001969,Evil numbers,https://oeis.org/A001969,200,E,"a(n) = 3*n-3 - a(n/2) if n even, a(n) = a((n+1)/2)+n-1 if n odd.",,
A002033,perfect partitions of n,https://oeis.org/A002033,200,H,no,,
A002083,Narayana-Zidek-Capell numbers,https://oeis.org/A002083,200,H,no,,
A002110,Primorial numbers,https://oeis.org/A002110,200,H,no,,
A002113, Palindromes in base 10. ,https://oeis.org/A002113,200,H,no,,
A002275,Repunits: (10^n - 1)/9,https://oeis.org/A002275,200,E,"a(n) =  (10^n - 1)/9,   
a(n) = 10*a(n-1) + 1,
a(n) = 11*a(n-1) - 10*a(n-2),",yes! a(n) = 10*a(n - 1) + 1,"yes, a(n) = -10*a(n - 2) + 11*a(n - 1) 
a(n) = 10*a(n - 1) + 1"
A002322,	Reduced totient function psi(n),https://oeis.org/A002322,200,E,a(p) = p-1 for prime p,,
A002378,"Oblong (or promic, pronic, or heteromecic)",https://oeis.org/A002378,200,E,"a(n) = n*(n+1), 
a(n) = a(n-1) + 2*n,
Sum_{n >= 1} a(n) = n*(n+1)*(n+2)/3,
Sum_{n >= 1} 1/a(n) = 1, 
Sum_{n >= 1} (-1)^(n+1)/a(n) = log(4) - 1,
a(n)*a(n+1) = a(n*(n+2)),
Sum_{k = 1..n} 1/a(k) = n/(n+1),
Log 2 = Sum_{n >= 0} 1/a(2n+1) = Sum_{n >= 0} (-1)^n/(n+1),
a(n-1) = n^2 - n,",yes! a(n) = n**2 + n,"yes, checked (a(n)-a(n-1) for a(n) = a(n-1) + 2n and repeat once), 
a(n) = a(n - 3) - 3*a(n - 2) + 3*a(n - 1) 
a(n) = -a(n - 2) + 2*a(n - 1) + 2"
A002426,Central trinomial coefficients,https://oeis.org/A002426,200,E,a(n) = ((2*n - 1)*a(n-1) + 3*(n - 1)*a(n-2))/n,,
A002487,Stern's diatomic series,https://oeis.org/A002487,200,,,,
A002530,sqrt(3)'s continued fractions' denumerators,https://oeis.org/A002530,200,E,"a(n) = 4*a(n-2) - a(n-4), 
a(n) = -(-1)^n * a(-n),
a(2*n) = a(2*n-1) + a(2*n-2), a(2*n+1) = 2*a(2*n) + a(2*n-1).
a(2*n) = ((2 + sqrt(3))^n - (2 - sqrt(3))^n)/(2*sqrt(3)).
a(n+1)*a(n+2) - a(n+3)*a(n) = (-1)^n,",yes! a(n) = -a(n - 4) + 4*a(n - 2),"yes, a(n) = -a(n - 4) + 4*a(n - 2)"
A002531,sqrt(3)'s continued fractions' numerators,https://oeis.org/A002531,200,hard,"G.f.: (1 + x - 2*x^2 + x^3)/(1 - 4*x^2 + x^4)
a(2*n) = a(2*n-1) + a(2*n-2), a(2*n+1) = 2*a(2*n) + a(2*n-1),
a(n) = ((1 + sqrt(3))^n + (1 - sqrt(3))^n)/(2*2^floor(n/2)),
a(n) = ((1 - sqrt(2))*(-1)^n + 1 + sqrt(2))*(((sqrt(2) - sqrt(6))/2)^n + ((sqrt(6) + sqrt(2))/2)^n)/4,
a(n) = (-1)^n*a(-n),","yes, to check!, a(n) = -a(n - 4) + 4*a(n - 2)","yes, a(n) = -a(n - 4) + 4*a(n - 2)"
A002572,partitions of 1 into n powers of 1/2,https://oeis.org/A002572,200,hard,no,,
A002620,Quarter-squares,https://oeis.org/A002620,200,E,"a(n) = floor(n/2)*ceiling(n/2), 
a(n) = floor(n^2/4), 
a(n) = (2*n^2-1+(-1)^n)/8,
a(n) = 2*a(n-1) - 2*a(n-3) + a(n-4),
a(-n) = a(n),
a(n) = a(n-1) + floor(n/2),
a(n) = a(n-1) + a(n-2) - a(n-3) + 1,",yes! a(n) = -a(n - 3) + a(n - 2) + a(n - 1) + 1,"yes, a(n) = a(n - 4) - 2*a(n - 3) + 2*a(n - 1) 
a(n) = -a(n - 3) + a(n - 2) + a(n - 1) + 1"
A002654,ways of writing n as a sum of at most two nonzero squares,https://oeis.org/A002654,200,E,a(4*n + 3) = a(9*n + 3) = a(9*n + 6) = 0. a(9*n) = a(2*n) = a(n),,
A002658,planted trees in which every node has degree <= 3 and of height n;,https://oeis.org/A002658,14,E,a(n + 1) = a(n) * (a(n) / a(n-1) + (a(n) + a(n-1)) / 2),,
A002808, composite numbers,https://oeis.org/A002808,200,H,no,,
A003136,Loeschian numbers,https://oeis.org/A003136,200,H,no,,
A003418,Least common multiple of [n],https://oeis.org/A003418,200,E,"a(n) = Product (p^(floor(log n/log p))), where p runs through primes not exceeding ",,
A003484,Hurwitz-Radon numbers.,https://oeis.org/A003484,200,E,"If n=2^(4*b+c)*d, 0<=c<=3, d odd, then a(n) = 8*b + 2^c.
If n=2^m*d, d odd, then a(n) = 2*m+1 if m=0 mod 4, a(n) = 2*m if m=1 or 2 mod 4, a(n) = 2*m+2 (otherwise, i.e., if m=3 mod 4).",,
A004011,Fourier coefficients of Eisenstein series,https://oeis.org/A004011,200,H,no,,
A004018,        Theta series of square lattice,https://oeis.org/A004018,200,E,a(n) = floor(1/(n+1)) + 4*floor(cos(Pi*sqrt(n))^2) - 4*floor(cos(Pi*sqrt(n/2))^2) + 8*Sum_{i=1..floor(n/2)} floor(cos(Pi*sqrt(i))^2)*floor(cos(Pi*sqrt(n-i))^2). ,,
A004526,Nonnegative integers repeated,https://oeis.org/A004526,200,Trivial,"a(n) = floor(n/2),
a(n) = 1 + a(n-2).
a(n) = a(n-1) + a(n-2) - a(n-3).
a(2*n) = a(2*n+1) = n.
a(n+1) = n - a(n),",yes! a(n) = a(n - 2) + 1,"yes, a(n) = -a(n - 4) + 2*a(n - 2) 
a(n) = a(n - 2) + 1"
A005036,Dissections of a polygon into n quadrilaterals,https://oeis.org/A005036,100,H,no,,
A005100,Deficient numbers,https://oeis.org/A005100,200,H,no,,
A005101,Abundant numbers,https://oeis.org/A005101,200,H,no,,
A005117,Squarefree numbers,https://oeis.org/A005117,200,E,Sum_{n>=1} (-1)^(a(n)+1)/a(n)^2 = 9/Pi^2.,,
A005130,Robbins numbers,https://oeis.org/A005130,101,E,a(n+1) = a(n) * n! * (3*n+1)! / ((2*n)! * (2*n+1)!),,
A005230,Stern's sequence,https://oeis.org/A005230,200,E,2*a(n*(n+1)/2 + 1) = a(n*(n+1)/2 + 2) ,,
A005408,Odd numbers,https://oeis.org/A005408,200,Trivial,"a(n) = 2*n + 1,          
a(-1 - n) = -a(n), 
a(n+1) = a(n) + 2,
a(n) = (n+1)^2 - n^2,
a(n) = 2*a(n-1) - a(n-2),
a(n) = (n - 1) + n 
n*a(2n+1)^2+1 = (n+1)*a(2n)^2",yes! a(n) = a(n - 1) + 2,"yes,  a(n) = -a(n - 2) + 2*a(n - 1) 
a(n) = a(n - 1) + 2"
A005588,free binary trees admitting height n,https://oeis.org/A005588,12,H,no,,
A005811,Runs in binary expansion of n,https://oeis.org/A005811,200,E,"a(2n+1) = 2a(n) - a(2n) + 1, 
a(4n) = a(2n), a(4n+2) = 1 + a(2n+1)",,
A005843,Even numbers,https://oeis.org/A005843,200,Trivial,"a(n) = 2*n, 
a(n) = 2a(n-1) - a(n-2)",yes! a(n) = 2*n,"yes, a(n) = -a(n - 2) + 2*a(n - 1) 
a(n) = a(n - 1) + 2"
A006318,Large Schröder numbers,https://oeis.org/A006318,200,E,(n-2)*a(n-2) - 3*(2*n-1)*a(n-1) + (n+1)*a(n) = 0,,
A006530,greatest prime dividing n,https://oeis.org/A006530,200,E,a(n) = n + 1 - Sum_{k=1..n} (floor((k!^n)/n) - floor(((k!^n)-1)/n)),,
A006882,Double factorials,https://oeis.org/A006882,200,E,"a(n) = n!!
a(n) = n!/a(n-1)",,
A006894,planted 3-trees of height < n,https://oeis.org/A006894,14,E,a(n+1) = a(n)(a(n)+1)/2 + 1,,
A007318,Pascal's triangle read by rows,https://oeis.org/A007318,200,H,no,,
